date	description	image_urls	mus_id	num_inventaire	artistMakerPerson	artistMakerOrganisations	technique	lien
ca. 1867	Vase	https://framemark.vam.ac.uk/collections/2008BT2399/full/full/0/default.jpg	O160903	705A-1869	Deck, Joseph-Théodore	[]	['Ceramics', 'Art Pottery']	https://collections.vam.ac.uk/item/O160903/
1878	Plate	https://framemark.vam.ac.uk/collections/2010EL6411/full/full/0/default.jpg	O282160	699-1878	Deck, Joseph-Théodore	[]	['Ceramics', 'Earthenware']	https://collections.vam.ac.uk/item/O282160/
1863	Tile	https://framemark.vam.ac.uk/collections/2018LD0925/full/full/0/default.jpg	O276333	17-1865	Joseph-Théodore Deck	[]	['Ceramics', 'Earthenware']	https://collections.vam.ac.uk/item/O276333/
1865	Dish	https://framemark.vam.ac.uk/collections/2008BT2578/full/full/0/default.jpg	O175503	226-1896	Deck, Joseph-Théodore	[]	['Ceramics', 'Art Pottery']	https://collections.vam.ac.uk/item/O175503/
ca. 1867	Vase	https://framemark.vam.ac.uk/collections/2007BM6527/full/full/0/default.jpg	O122941	705-1869	Deck, Joseph-Théodore	[]	['Ceramics', 'Art Pottery']	https://collections.vam.ac.uk/item/O122941/
ca 1862	Vase	https://framemark.vam.ac.uk/collections/2006AT2420/full/full/0/default.jpg	O84929	18-1865	Deck, Joseph-Théodore	[]	['Ceramics', 'Earthenware', 'Vases']	https://collections.vam.ac.uk/item/O84929/
19th century	Tile	https://framemark.vam.ac.uk/collections/2018KY9150/full/full/0/default.jpg	O282141	C.166-1976	Deck, Joseph-Thèodore	[]	['Ceramics', 'Earthenware']	https://collections.vam.ac.uk/item/O282141/
1889	Dish	https://framemark.vam.ac.uk/collections/2007BM6744/full/full/0/default.jpg	O122993	501-1889	Lachenal, Edmond	[]	[]	https://collections.vam.ac.uk/item/O122993/
ca. 1888	Coffee pot and cover	https://framemark.vam.ac.uk/collections/2008BT0553/full/full/0/default.jpg	O175496	288-1892	[]	Figli di Giuseppe Cantagalli	['Ceramics']	https://collections.vam.ac.uk/item/O175496/
ca. 1892	Jug and cover	https://framemark.vam.ac.uk/collections/2010EC6401/full/full/0/default.jpg	O308219	235&A-1892	Cantagalli, Ulisse	[]	['Ceramics', 'Earthenware']	https://collections.vam.ac.uk/item/O308219/
1892	Bottle	https://framemark.vam.ac.uk/collections/2010EK0251/full/full/0/default.jpg	O332154	275-1892	Cantagalli, Ulisse	[]	['Ceramics', 'Earthenware']	https://collections.vam.ac.uk/item/O332154/
1892	Dish	https://framemark.vam.ac.uk/collections/2010EK0248/full/full/0/default.jpg	O332155	306-1892	Cantagalli, Ulisse	[]	['Ceramics', 'Earthenware']	https://collections.vam.ac.uk/item/O332155/
ca. 1880	Vase	https://framemark.vam.ac.uk/collections/2010ED0471/full/full/0/default.jpg	O150300	862-1905	De Morgan, William Frend	William De Morgan, Chelsea Factory	['Ceramics', 'Art Pottery', 'Earthenware']	https://collections.vam.ac.uk/item/O150300/
ca. 1892	Bowl	https://framemark.vam.ac.uk/collections/2010EC6218/full/full/0/default.jpg	O281915	308-1892	Cantagalli, Ulisse	[]	['Ceramics', 'Earthenware', 'Maiolica']	https://collections.vam.ac.uk/item/O281915/
ca. 1892	Bowl	https://framemark.vam.ac.uk/collections/2010EC4060/full/full/0/default.jpg	O282011	304-1892	Cantagalli, Ulisse	[]	['Ceramics', 'Earthenware', 'Maiolica']	https://collections.vam.ac.uk/item/O282011/
late 19th century	Tile	https://framemark.vam.ac.uk/collections/2007BN6431/full/full/0/default.jpg	O161558	C.144-1917	William De Morgan	William De Morgan - Fulham Factory	['Ceramics', 'Tiles', 'Art Pottery', 'Earthenware']	https://collections.vam.ac.uk/item/O161558/
ca. 1900	Punch bowl	https://framemark.vam.ac.uk/collections/2006AN5608/full/full/0/default.jpg	O77990	C.78-1923	De Morgan, William Frend	William De Morgan, Merton Abbey Factory	['Ceramics', 'Earthenware', 'Tableware & cutlery', 'Drinking']	https://collections.vam.ac.uk/item/O77990/
ca. 1900	Bottle	https://framemark.vam.ac.uk/collections/2006AN8776/full/full/0/default.jpg	O77759	860-1905	De Morgan, William Frend	Sands End Pottery	['Ceramics', 'Earthenware']	https://collections.vam.ac.uk/item/O77759/
1870-1880	Tile	https://framemark.vam.ac.uk/collections/2019LJ5987/full/full/0/default.jpg	O11149	C.220-1976	Morris, William	William De Morgan, Chelsea Factory	['Ceramics', 'Tiles', 'British Galleries']	https://collections.vam.ac.uk/item/O11149/
ca. 1885	Dish	https://framemark.vam.ac.uk/collections/2006AP5347/full/full/0/default.jpg	O150353	C.423-1919	De Morgan, William Frend	William De Morgan, Merton Abbey Factory	['Ceramics', 'Art Pottery', 'Earthenware']	https://collections.vam.ac.uk/item/O150353/
ca. 1880	Vase	https://framemark.vam.ac.uk/collections/2010ED0471/full/full/0/default.jpg	O150300	862-1905	De Morgan, William Frend	William De Morgan, Chelsea Factory	['Ceramics', 'Art Pottery', 'Earthenware']	https://collections.vam.ac.uk/item/O150300/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW0811/full/full/0/default.jpg	O1104561	E.1449-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104561/
1898-1907	Plate	https://framemark.vam.ac.uk/collections/2010EC2404/full/full/0/default.jpg	O150352	C.421-1919	De Morgan, William Frend	William De Morgan, Fulham Factory	['Ceramics', 'Art Pottery', 'Earthenware']	https://collections.vam.ac.uk/item/O150352/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JU7484/full/full/0/default.jpg	O1104615	E.1355-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104615/
ca. 1895	Dish	https://framemark.vam.ac.uk/collections/2010EB4645/full/full/0/default.jpg	O150508	C.105-1971	De Morgan, William Frend	William De Morgan, Fulham Factory	['Ceramics', 'Art Pottery', 'Earthenware']	https://collections.vam.ac.uk/item/O150508/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW0795/full/full/0/default.jpg	O1104532	E.1381-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104532/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JU7479/full/full/0/default.jpg	O1104616	E.1352-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104616/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW1757/full/full/0/default.jpg	O1104504	E.1460-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104504/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JU7469/full/full/0/default.jpg	O1104637	E.1343A-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104637/
1882-1888	Drawing	https://framemark.vam.ac.uk/collections/2017JW7846/full/full/0/default.jpg	O1104628	E.1346-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104628/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW3809/full/full/0/default.jpg	O1104581	E.1470-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104581/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW0806/full/full/0/default.jpg	O1104554	E.1420-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104554/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW0825/full/full/0/default.jpg	O1104553	E.1451-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104553/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW3763/full/full/0/default.jpg	O1104595	E.1411-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104595/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW0830/full/full/0/default.jpg	O1104537	E.1453-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104537/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW0802/full/full/0/default.jpg	O1104534	E.1380-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104534/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JU7381/full/full/0/default.jpg	O1104611	E.1416-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104611/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JU7378/full/full/0/default.jpg	O1104647	E.1344-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104647/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW1756/full/full/0/default.jpg	O1104518	E.1458-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104518/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW0813/full/full/0/default.jpg	O1104531	E.1377-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104531/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW1718/full/full/0/default.jpg	O1104505	E.1419-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104505/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW0816/full/full/0/default.jpg	O1104555	E.1417-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104555/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW0881/full/full/0/default.jpg	O1104548	E.1455-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104548/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW0821/full/full/0/default.jpg	O1104536	E.1418-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104536/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW0801/full/full/0/default.jpg	O1104550	E.1374-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104550/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW0824/full/full/0/default.jpg	O1104540	E.1436-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104540/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW0929/full/full/0/default.jpg	O1104535	E.1463-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104535/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW0807/full/full/0/default.jpg	O1104549	E.1434-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104549/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW0822/full/full/0/default.jpg	O1104541	E.1425-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104541/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW0820/full/full/0/default.jpg	O1104529	E.1452-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104529/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW0967/full/full/0/default.jpg	O1104533	E.1454-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104533/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JU7477/full/full/0/default.jpg	O1104636	E.1351-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104636/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JW3764/full/full/0/default.jpg	O1104585	E.1414-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104585/
late 19th century	Design	https://framemark.vam.ac.uk/collections/2017JV1418/full/full/0/default.jpg	O1104716	E.1127-1917	William De Morgan	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104716/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2017JU7563/full/full/0/default.jpg	O1104622	E.1329-1917	De Morgan, William	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104622/
19th century	Tile	https://framemark.vam.ac.uk/collections/2015HW3776/full/full/0/default.jpg	O163512	CIRC.123-1933	De Morgan, William Frend	[]	['Ceramics', 'Tiles', 'Art Pottery', 'Earthenware']	https://collections.vam.ac.uk/item/O163512/
late 19th century	Design	https://framemark.vam.ac.uk/collections/2017JV1445/full/full/0/default.jpg	O1104748	E.1128-1917	De Morgan, William Frend	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104748/
19th century	Tile	https://framemark.vam.ac.uk/collections/2018KV6240/full/full/0/default.jpg	O161602	C.154-1917	De Morgan, William Frend	[]	['Ceramics', 'Tiles', 'Art Pottery', 'Earthenware']	https://collections.vam.ac.uk/item/O161602/
late 19th century	Design	https://framemark.vam.ac.uk/collections/2017JV1430/full/full/0/default.jpg	O1104720	E.1150-1917	De Morgan, William Frend	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104720/
late 19th century	Design	https://framemark.vam.ac.uk/collections/2017JV1459/full/full/0/default.jpg	O1104722	E.1088-1917	De Morgan, William Frend	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104722/
late 19th century	Design	https://framemark.vam.ac.uk/collections/2017JV1500/full/full/0/default.jpg	O1104719	E.1288-1917	De Morgan, William Frend	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104719/
1888-1897	Panel	https://framemark.vam.ac.uk/collections/2019MA0269/full/full/0/default.jpg	O11168	361-1905	De Morgan, William Frend	Sands End Pottery	['British Galleries', 'Ceramics']	https://collections.vam.ac.uk/item/O11168/
late 19th century	Design	https://framemark.vam.ac.uk/collections/2017JV1477/full/full/0/default.jpg	O1104687	E.1295-1917	De Morgan, William Frend	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104687/
late 19th century	Design	https://framemark.vam.ac.uk/collections/2017JV1444/full/full/0/default.jpg	O1104747	E.1108-1917	De Morgan, William Frend	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104747/
