date	description	image_urls	mus_id	num_inventaire	artistMakerPerson	artistMakerOrganisations	technique	lien
late 19th century	Design	https://framemark.vam.ac.uk/collections/2017JU1661/full/full/0/default.jpg	O1104824	E.1107-1917	De Morgan, William Frend	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104824/
late 19th century	Design	https://framemark.vam.ac.uk/collections/2017JV1460/full/full/0/default.jpg	O1104717	E.1092-1917	De Morgan, William Frend	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104717/
ca. 1870-1907	Design	https://framemark.vam.ac.uk/collections/2017JW1797/full/full/0/default.jpg	O1103941	E.513-1917	William De Morgan	[]	['Designs', 'Tiles', 'Drawings']	https://collections.vam.ac.uk/item/O1103941/
ca.1882	Tile panel	https://framemark.vam.ac.uk/collections/2009CC5081/full/full/0/default.jpg	O233189	362:8-1905	De Morgan, William	[]	['Ceramics', 'Tiles', 'Art Pottery']	https://collections.vam.ac.uk/item/O233189/
1876	Tile panel	https://framemark.vam.ac.uk/collections/2006AN6717/full/full/0/default.jpg	O8046	C.36-1972	Morris, William	Architectural Pottery Co.	['Ceramics', 'Art Pottery']	https://collections.vam.ac.uk/item/O8046/
Late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2016JE1731/full/full/0/default.jpg	O1103825	E.1511-1917	William de Morgan	[]	['Designs', 'Ceramics', 'Tiles']	https://collections.vam.ac.uk/item/O1103825/
1872-1888	Design	https://framemark.vam.ac.uk/collections/2017JV9904/full/full/0/default.jpg	O1104364	E.694-1917	William De Morgan	[]	['Designs', 'Drawings', 'Tiles', 'Ceramics', 'Animals and Wildlife']	https://collections.vam.ac.uk/item/O1104364/
1872-1882	Design	https://framemark.vam.ac.uk/collections/2017JV7863/full/full/0/default.jpg	O1104259	E.805-1917	William De Morgan	[]	['Designs', 'Drawings', 'Tiles', 'Ceramics']	https://collections.vam.ac.uk/item/O1104259/
1872-1882	Design	https://framemark.vam.ac.uk/collections/2017JV6397/full/full/0/default.jpg	O1104248	E.799-1917	William De Morgan	[]	['Designs', 'Drawings', 'Tiles', 'Ceramics']	https://collections.vam.ac.uk/item/O1104248/
1872-1882	Design	https://framemark.vam.ac.uk/collections/2017JW0913/full/full/0/default.jpg	O1104246	E.773-1917	William De Morgan	[]	['Designs', 'Drawings', 'Tiles', 'Ceramics']	https://collections.vam.ac.uk/item/O1104246/
1872-1898	Design	https://framemark.vam.ac.uk/collections/2017JV6422/full/full/0/default.jpg	O1104235	E.719-1917	William De Morgan	[]	['Designs', 'Drawings', 'Tiles', 'Ceramics']	https://collections.vam.ac.uk/item/O1104235/
1839 - 1917	Drawing	https://framemark.vam.ac.uk/collections/2010EM4881/full/full/0/default.jpg	O1103790	E.422-1917	William de Morgan	[]	['Designs', 'Ceramics', 'Tiles', 'Drawings']	https://collections.vam.ac.uk/item/O1103790/
1872-1888	Design	https://framemark.vam.ac.uk/collections/2006AN6750/full/full/0/default.jpg	O1104370	E.699-1917	William De Morgan	[]	['Designs', 'Drawings', 'Tiles', 'Ceramics', 'Animals and Wildlife']	https://collections.vam.ac.uk/item/O1104370/
1839 - 1917	Drawing	https://framemark.vam.ac.uk/collections/2017JW3843/full/full/0/default.jpg	O1103765	E.465-1917	De Morgan, William Frend	[]	['Drawings', 'Ceramics', 'Tiles', 'Designs', 'Watercolours']	https://collections.vam.ac.uk/item/O1103765/
1888-1898	Vase	https://framemark.vam.ac.uk/collections/2010CX1492/full/full/0/default.jpg	O151502	C.268-1915	[]	William De Morgan, Fulham Factory	['Ceramics', 'Art Pottery', 'Earthenware']	https://collections.vam.ac.uk/item/O151502/
1888-1898	Vase	https://framemark.vam.ac.uk/collections/2010CT5185/full/full/0/default.jpg	O5822	C.80-1923	Passenger, Fred	William De Morgan, Fulham Factory	['Earthenware', 'Vases', 'Ceramics']	https://collections.vam.ac.uk/item/O5822/
1882-1907	Design	https://framemark.vam.ac.uk/collections/2010EM4878/full/full/0/default.jpg	O1103798	E.431-1917	William De Morgan	[]	['Tiles', 'Ceramics', 'Designs', 'Drawings']	https://collections.vam.ac.uk/item/O1103798/
ca.1882	Tile set	https://framemark.vam.ac.uk/collections/2008BR8870/full/full/0/default.jpg	O81983	CIRC.35-1970	De Morgan, William Frend	[]	['Art Pottery', 'Ceramics']	https://collections.vam.ac.uk/item/O81983/
17/11/1881	Design	https://framemark.vam.ac.uk/collections/2017JV1425/full/full/0/default.jpg	O1104760	E.1184-1917	De Morgan, William Frend	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104760/
c. 1859-1917	Drawing	https://framemark.vam.ac.uk/collections/2017JW3775/full/full/0/default.jpg	O832943	E.1540-1917	William De Morgan	[]	['Drawings', 'Ceramics', 'Tiles', 'Designs', 'Watercolours']	https://collections.vam.ac.uk/item/O832943/
1872-1907	Drawing	https://framemark.vam.ac.uk/collections/2006BB4837/full/full/0/default.jpg	O1103836	E.421-1917	De Morgan, William Frend		['Designs', 'Drawings', 'Tiles', 'Animals and Wildlife']	https://collections.vam.ac.uk/item/O1103836/
c. 1859-1917	Drawing	https://framemark.vam.ac.uk/collections/2017JW1887/full/full/0/default.jpg	O832953	E.462-1917	William De Morgan	[]	['Drawings', 'Ceramics', 'Tiles', 'Designs', 'Watercolours']	https://collections.vam.ac.uk/item/O832953/
late 19th century	Design	https://framemark.vam.ac.uk/collections/2017JV1441/full/full/0/default.jpg	O1104756	E.1158-1917	De Morgan, William Frend	[]	['Designs', 'Ceramics']	https://collections.vam.ac.uk/item/O1104756/
1898	Tile	https://framemark.vam.ac.uk/collections/2007BN3379/full/full/0/default.jpg	O161596	C.152-1917	De Morgan, William Frend	[]	['Ceramics', 'Tiles', 'Art Pottery', 'Earthenware']	https://collections.vam.ac.uk/item/O161596/
19th century	Tile	https://framemark.vam.ac.uk/collections/2010EH9716/full/full/0/default.jpg	O161599	C.153-1917	De Morgan, William Frend	[]	['Ceramics', 'Tiles', 'Art Pottery']	https://collections.vam.ac.uk/item/O161599/
late 19th century	Drawing	https://framemark.vam.ac.uk/collections/2006BF5494/full/full/0/default.jpg	O1108848	E.1415-1917	De Morgan, William Frend	[]	['Designs']	https://collections.vam.ac.uk/item/O1108848/
ca. 1885	Tile	https://framemark.vam.ac.uk/collections/2007BN4047/full/full/0/default.jpg	O161356	C.11-1971	De Morgan, William Frend	[]	['Ceramics', 'Tiles', 'Art Pottery', 'Earthenware']	https://collections.vam.ac.uk/item/O161356/
c.1890	Vase	https://framemark.vam.ac.uk/collections/2022NH0066/full/full/0/default.jpg	O1460004	C.239-2018	William De Morgan	[]	['Ceramics', 'Art Pottery']	https://collections.vam.ac.uk/item/O1460004/
1882-1888	Tile	https://framemark.vam.ac.uk/collections/2018LE3929/full/full/0/default.jpg	O1460016	C.251-2018	William De Morgan	[]	['Ceramics', 'Art Pottery']	https://collections.vam.ac.uk/item/O1460016/
1898-1907	Tile	https://framemark.vam.ac.uk/collections/2007BN3348/full/full/0/default.jpg	O161604	C.155-1917	De Morgan, William Frend	[]	['Ceramics', 'Tiles', 'Art Pottery', 'Earthenware']	https://collections.vam.ac.uk/item/O161604/
1898	Tile	https://framemark.vam.ac.uk/collections/2018LF0954/full/full/0/default.jpg	O1460017	C.252-2018	William De Morgan	[]	['Ceramics', 'Art Pottery']	https://collections.vam.ac.uk/item/O1460017/
1888-1897	Vase	https://framemark.vam.ac.uk/collections/2019LY6635/full/full/0/default.jpg	O1460010	C.245-2018	William De Morgan	[]	['Ceramics', 'Art Pottery']	https://collections.vam.ac.uk/item/O1460010/
1888-1897	Vase	https://framemark.vam.ac.uk/collections/2019LY6603/full/full/0/default.jpg	O1460011	C.246-2018	William De Morgan	[]	['Art Pottery', 'Ceramics', 'Woman Artist']	https://collections.vam.ac.uk/item/O1460011/
1888-1897	Vase	https://framemark.vam.ac.uk/collections/2019LY6601/full/full/0/default.jpg	O1460008	C.243-2018	William De Morgan	[]	['Ceramics', 'Art Pottery']	https://collections.vam.ac.uk/item/O1460008/
1872-1882	Tile	https://framemark.vam.ac.uk/collections/2010EH9727/full/full/0/default.jpg	O161549	C.142-1917	De Morgan, William Frend	[]	['Ceramics', 'Tiles', 'Art Pottery']	https://collections.vam.ac.uk/item/O161549/
1881-1904	Vase	https://framemark.vam.ac.uk/collections/2022NH0096/full/full/0/default.jpg	O1460003	C.238-2018	William De Morgan	[]	['Ceramics', 'Art Pottery']	https://collections.vam.ac.uk/item/O1460003/
19th century	Tile panel	https://framemark.vam.ac.uk/collections/2010EH9728/full/full/0/default.jpg	O161605	C.156&A-1917	De Morgan, William Frend	[]	['Ceramics', 'Tiles', 'Art Pottery']	https://collections.vam.ac.uk/item/O161605/
ca. 1885	Tile	https://framemark.vam.ac.uk/collections/2010EB6903/full/full/0/default.jpg	O281433	C.11A-1971	De Morgan, William Frend	[]	['Ceramics', 'Tiles', 'Art Pottery', 'Earthenware']	https://collections.vam.ac.uk/item/O281433/
1888-1897	Vase	https://framemark.vam.ac.uk/collections/2019LY6535/full/full/0/default.jpg	O1460005	C.240-2018	William De Morgan	[]	['Ceramics', 'Art Pottery']	https://collections.vam.ac.uk/item/O1460005/
late 19th century	Tile panel	https://framemark.vam.ac.uk/collections/2010EB6909/full/full/0/default.jpg	O281830	360-1905	[]	William De Morgan, Merton Abbey Factory	['Ceramics', 'Earthenware']	https://collections.vam.ac.uk/item/O281830/
19th Century	Tile	https://framemark.vam.ac.uk/collections/2015HX0184/full/full/0/default.jpg	O280651	CER.LOST.190	[]	[]	['Ceramics', 'Tiles']	https://collections.vam.ac.uk/item/O280651/
1889	Dish	https://framemark.vam.ac.uk/collections/2007BM6744/full/full/0/default.jpg	O122993	501-1889	Lachenal, Edmond	[]	[]	https://collections.vam.ac.uk/item/O122993/
ca. 1889	Dish	https://framemark.vam.ac.uk/collections/2008BT0409/full/full/0/default.jpg	O340222	500-1889	Lachenal, Edmond	[]	['Ceramics', 'Earthenware']	https://collections.vam.ac.uk/item/O340222/
ca. 1878	Vase	https://framemark.vam.ac.uk/collections/2007BM6517/full/full/0/default.jpg	O227848	676-1878	Milet, Optat	[]	['Ceramics']	https://collections.vam.ac.uk/item/O227848/
ca. 1878	Vase	https://framemark.vam.ac.uk/collections/2010EC6328/full/full/0/default.jpg	O345295	675-1878	Milet, Optat	[]	['Ceramics', 'Earthenware']	https://collections.vam.ac.uk/item/O345295/
ca. 1862	Bottle vase	https://framemark.vam.ac.uk/collections/2006AN0751/full/full/0/default.jpg	O77737	8098-1863	[]	Minton	['Ceramics', 'Bone China', 'Vases']	https://collections.vam.ac.uk/item/O77737/
1862	Plateau	https://framemark.vam.ac.uk/collections/2006AM5291/full/full/0/default.jpg	O11143	8100-1863	[]	Minton	['British Galleries', 'Caricatures & Cartoons']	https://collections.vam.ac.uk/item/O11143/
ca. 1875	Tile	https://framemark.vam.ac.uk/collections/2006AM5817/full/full/0/default.jpg	O77879	C.202-1976	[]	Minton, Hollins & Co.	['Tiles', 'Ceramics', 'Earthenware']	https://collections.vam.ac.uk/item/O77879/
ca. 1890	Tile	https://framemark.vam.ac.uk/collections/2007BN6337/full/full/0/default.jpg	O278080	C.238-1976	[]	Minton, Hollins & Co.	['Ceramics', 'Earthenware']	https://collections.vam.ac.uk/item/O278080/
ca. 1862	Bottle vase and cover	https://framemark.vam.ac.uk/collections/2006AM5296/full/full/0/default.jpg	O11140	7896&A-1863	[]	Minton	['Ceramics', 'Porcelain']	https://collections.vam.ac.uk/item/O11140/
19th century	Tempera	https://framemark.vam.ac.uk/collections/2007BN6095/full/full/0/default.jpg	O1093402	58-1893	Parvillée, Léon	[]	['Islam', 'Ceramics', 'Architectural fittings']	https://collections.vam.ac.uk/item/O1093402/
ca. 1870	Dish	https://framemark.vam.ac.uk/collections/2006AW2140/full/full/0/default.jpg	O122992	C.18 to A-1981	Parvillée, Léon	[]	[]	https://collections.vam.ac.uk/item/O122992/
1889	Fountain and basin	https://framemark.vam.ac.uk/collections/2010EA2841/full/full/0/default.jpg	O100715	48&A-1890	[]	Samson & Cie	[]	https://collections.vam.ac.uk/item/O100715/
ca. 1870-90	Inkwell	https://framemark.vam.ac.uk/collections/2016JA8067/full/full/0/default.jpg	O1318883	C.55:1 to 3-2015	[]	Samson & Cie.	['Ceramics', 'Earthenware', 'Household objects']	https://collections.vam.ac.uk/item/O1318883/
ca. 1870-90	Bottle	https://framemark.vam.ac.uk/collections/2016JA8076/full/full/0/default.jpg	O1318882	C.54-2015	[]	Samson & Cie.	['Ceramics', 'Earthenware', 'Household objects']	https://collections.vam.ac.uk/item/O1318882/
1850-1900, possibly	Coffee pot	https://framemark.vam.ac.uk/collections/2010CX1716/full/full/0/default.jpg	O297418	C.174&A-1928	[]	Samson & Cie	['Ceramics']	https://collections.vam.ac.uk/item/O297418/
19th century	Plate	https://framemark.vam.ac.uk/collections/2019LL7321/full/full/0/default.jpg	O282245	710-1878	zsolnay	zsolnay factory	['Ceramics', 'Earthenware']	https://collections.vam.ac.uk/item/O282245/
ca. 1878	Dish	https://framemark.vam.ac.uk/collections/2007BM6749/full/full/0/default.jpg	O228510	711-1878	[]	Zsolnay Ceramic Works	['Ceramics', 'Earthenware']	https://collections.vam.ac.uk/item/O228510/
1883-5	Vase	https://framemark.vam.ac.uk/collections/2023NJ2130/full/full/0/default.jpg	O1505311	C.36-2019	[]	Zsolnay Ceramic Works	[]	https://collections.vam.ac.uk/item/O1505311/
19th century	Dish	https://framemark.vam.ac.uk/collections/2019LL7322/full/full/0/default.jpg	O344829	700-1878	zsolnay	[]	['Food vessels and tableware']	https://collections.vam.ac.uk/item/O344829/
ca. 1900	Tile panel	https://framemark.vam.ac.uk/collections/2010ED0361/full/full/0/default.jpg	O256246	516 to C-1902	[]	M. van Straaten & Co.	['Ceramics', 'Earthenware']	https://collections.vam.ac.uk/item/O256246/
ca. 1875	Tile	https://framemark.vam.ac.uk/collections/2006AM5817/full/full/0/default.jpg	O77879	C.202-1976	[]	Minton, Hollins & Co.	['Tiles', 'Ceramics', 'Earthenware']	https://collections.vam.ac.uk/item/O77879/
ca. 1862	Bottle vase	https://framemark.vam.ac.uk/collections/2006AN0751/full/full/0/default.jpg	O77737	8098-1863	[]	Minton	['Ceramics', 'Bone China', 'Vases']	https://collections.vam.ac.uk/item/O77737/
1862	Plateau	https://framemark.vam.ac.uk/collections/2006AM5291/full/full/0/default.jpg	O11143	8100-1863	[]	Minton	['British Galleries', 'Caricatures & Cartoons']	https://collections.vam.ac.uk/item/O11143/
ca. 1870-90	Inkwell	https://framemark.vam.ac.uk/collections/2016JA8067/full/full/0/default.jpg	O1318883	C.55:1 to 3-2015	[]	Samson & Cie.	['Ceramics', 'Earthenware', 'Household objects']	https://collections.vam.ac.uk/item/O1318883/
1870	Tile	https://framemark.vam.ac.uk/collections/2007BN3409/full/full/0/default.jpg	O277692	C.241-1976	[]	Minton	['Ceramics', 'Tiles', 'Art Pottery']	https://collections.vam.ac.uk/item/O277692/
ca. 1870-90	Bottle	https://framemark.vam.ac.uk/collections/2016JA8076/full/full/0/default.jpg	O1318882	C.54-2015	[]	Samson & Cie.	['Ceramics', 'Earthenware', 'Household objects']	https://collections.vam.ac.uk/item/O1318882/
