Titre	Auteur	Date	Description	Technique	Lien	Institution	Ville	Num_inventaire	Image_urls
Vase à décor persan	['Caranza de Amédée (1843-1914)', 'Vieillard Jules & Cie']	['1845-1895']	Faïence fine avec décor polychrome d'émaux cloisonnés ; Vase de forme fuselée, base légèrement renflée sur talon s'amincissant vers un petit col évasé. Décor d'émaux polychromes sur fond vermiculé violacé. Motifs de type persan : tulipes, palmettes, et cyprès se tordant en flammes. Intérieur vert pâle.	['faïence fine', 'emaux cloisonnés']	https://pop.culture.gouv.fr/notice/joconde/00660020994	musée des arts décoratifs et du design	Bordeaux	71.4.5	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660020994/0c9013a4b1e3f9f484eb.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660020994/0c9013a4bdcf0865afd4.jpg']
Vase à décor persan	['Caranza de Amédée (1843-1914)', 'Manufacture J. Vieillard & Cie']	[]	Vase de forme fuselée, base légèrement renflée sur talon s'amincissant vers un petit col évasé. Décor d'émaux polychromes sur fond vermiculé violacé. Motifs de type persan : tulipes, palmettes, et cyprès se tordant en flammes. Intérieur vert pâle.	['faïence fine', 'emaux cloisonnés']	https://pop.culture.gouv.fr/notice/joconde/00660020995	musée des arts décoratifs et du design	Bordeaux	71.4.6	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660020995/0c90139f7214ce5ad539.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660020995/0c90139f73c07b6c9505.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660020995/0c90139f7ef5a4297bd3.jpg']
Nan	['Vieillard Jules & Cie']	[]	Décor d'émaux en relief polychrome sur faïence stannifère. Décor d'émaux polychromes dans le goût turc.	['faïence stannifère', 'émaux en relief']	https://pop.culture.gouv.fr/notice/joconde/00660021026	musée des arts décoratifs et du design	Bordeaux	73.1.430.2	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021026/0c90406630f7555f5c6b.jpg']
Nan	['Vieillard Jules & Cie']	[]	Décor d'émaux en relief polychrome sur faïence stannifère. ; Décor d'émaux plolychromes dans le goût turc. 9 d'une série de 12.	['faïence stannifère', 'émaux en relief']	https://pop.culture.gouv.fr/notice/joconde/00660021028	musée des arts décoratifs et du design	Bordeaux	73.1.430.4	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021028/0c904070a1f6df656c2e.jpg']
Nan	['Vieillard Jules & Cie']	[]	Décor d'émaux en relief polychrome sur faïence stannifère. Décor d'émaux polychromes dans le goût turc.	['faïence stannifère', 'émaux en relief']	https://pop.culture.gouv.fr/notice/joconde/00660021030	musée des arts décoratifs et du design	Bordeaux	73.1.430.6	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021030/0c904075625e6fbc723f.jpg']
Nan	['Vieillard Jules & Cie']	[]	Décor d'émaux en relief polychrome sur faïence stannifère. Décor d'émaux polychromes dans le goût turc.	['faïence stannifère', 'émaux en relief']	https://pop.culture.gouv.fr/notice/joconde/00660021031	musée des arts décoratifs et du design	Bordeaux	73.1.430.7	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021031/0c904075ab555d411b36.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021031/0c904075ac812c50d472.jpg']
Nan	['Caranza de Amédée (1843-1914)', 'Vieillard Jules & Cie']	['1845-1895']	Faïence fine, décor polychrome d'émaux en relief. Assiette décorative, plate, à bord uni. Décor rayonnant d'émaux polychromes dans le goût persan; à partir d'un médaillon central s'épanouissent des compartiments de forme contournée à décor floral stylisé.	['faïence fine', 'émaux en relief']	https://pop.culture.gouv.fr/notice/joconde/00660021046	musée des arts décoratifs et du design	Bordeaux	74.3.13	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021046/0c90228d1b0c78f61c5d.jpg']
Nan	['Caranza de Amédée (1843-1914)', 'Vieillard Jules & Cie']	['1845-1895']	Faïence fine à décor polychrome d'émaux en relief ; Assiette décorative. Plate, à bord uni. Décor polychrome dans le goût persan. A partir d'une rosace centrale s'épanouissent six compartiments de forme contournée bleus à décor floral noir sur fond d'écailles brunes. Rinceaux en bordure.	['faïence fine', 'émaux en relief']	https://pop.culture.gouv.fr/notice/joconde/00660021045	musée des arts décoratifs et du design	Bordeaux	74.3.12	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021045/0c90228d7732ad3e52d8.jpg']
Nan	['Caranza de Amédée (1843-1914)', 'Vieillard Jules & Cie']	['1878-1885']	Faïence fine avec décor polychrome d' émaux en relief ; Assiette décorative, plate, à bord uni. Décor polychrome rayonnant dans le goût persan. Autour d'un médaillon central de cinq fleurons dix compartiments sont alternativement ornés d'écailles vertes sur fond noir et de branches fleuries sur fond rouge.	['faïence fine', 'émaux en relief']	https://pop.culture.gouv.fr/notice/joconde/00660021047	musée des arts décoratifs et du design	Bordeaux	74.3.14	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021047/0c90228cc879b1b37aeb.jpg']
Plat à décor persan	['Jules Vieillard et cie', 'Caranza de Amédée (1843-1914)']	['1845-1895']	Faïence fine à décor d'émaux polychromes en relief et cloisonnés ; Grand plat rond décoratif, à bord uni. Décor rayonnant polychrome sur fond bleu d'émaux en relief et cloisonnés. Rosace de douze pétales, alternativement ornés de branches fleuries sur fond turquoise et de quadrillages polychromes. Cartouches fleuris et quadrillés, alternativement alllongés et ronds, en bordure.	['faïence fine', 'émaux en relief', 'émaux cloisonnés']	https://pop.culture.gouv.fr/notice/joconde/00660021056	musée des arts décoratifs et du design	Bordeaux	75.3.8	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021056/0c90101264d34bd60b86.jpg']
Nan	['Caranza de Amédée (1843-1914)', 'Manufacture J. Vieillard & Cie']	['1845-1895']	"Rond et plat à bord uni. 
Décor d'émaux polychromes sur fond brun dessinant une composition florale symétrique dans le goût persan."	['faïence fine', 'émaux', 'émaux cloisonnés']	https://pop.culture.gouv.fr/notice/joconde/00660021064	musée des arts décoratifs et du design	Bordeaux	78.2.10	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021064/0c90139f22de0149fe0c.jpg']
Nan	['Vieillard Jules & Cie']	['1845-1895']	Faïence fine, décor d'émaux en relief doré sur fond brun à bandeau orangé. Potiche sur talon droit à panse arrondie  et col court largement évasé, bord en méplat; anses latérales en forme de têtes d'éléphants. Sur fon brun barré sur la panse d'un bandeau orange, décor doré en relief de fleurs et feuillages.	"['faîence fine', 'émaux en relief', ""rehaussé d'or""]"	https://pop.culture.gouv.fr/notice/joconde/00660021099	musée des arts décoratifs et du design	Bordeaux	86.2.10	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021099/0c9010135237fbcbb9a9.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021099/0c90101353ceafa30c04.jpg']
Nan	['Vieillard Jules & Cie']	[]	Faïence fine à décor d'émaux peints et émaux cloisonnés polychromes. Pendule à cinq lobes disposés autour du cadran. Décor de blasons dans des réserves trilobées sur fond brun rehaussé de rinceaux et de cinq lions noirs. Au centre, armoiries timbrées d'un casque de face, supportées par deux lions sur fond de rinceaux.	['faïence fine', 'émaux cloisonnés', 'émaux peints']	https://pop.culture.gouv.fr/notice/joconde/00660021102	musée des arts décoratifs et du design	Bordeaux	87.2.5	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021102/0c9013a4f31e5232998e.jpg']
Lampe carcel	['Vieillard Jules & Cie']	[]	"Pied en régule, globe en verre dépoli.
Lampe à pétrole dont le corps est constitué d'un vase à anse en bambou figuré de style composite et japonisant. Décor : motif de palmettes et de rinceaux en gris et rose sur fond turquoise. Pied en régule et globe moderne."	['faïence fine', 'régule', 'verre', 'emaux en relief', 'emaux cloisonnés', 'verre dépoli']	https://pop.culture.gouv.fr/notice/joconde/00660021114	musée des arts décoratifs et du design	Bordeaux	91.2.8	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021114/0c90101212a2dc648381.jpg']
Lampe carcel	['Vieillard Jules & Cie']	[]	"Pied en régule, globe en verre dépoli. 
Lampe à pétrole dont le corps est constitué d'un vase à anse en bambou figuré de style composite et japonisant. Décor : motif de palmettes et de rinceaux en gris et rose sur fond turquoise. Pied en régule et globe moderne. Couleurs plus soutenues que la lampe n° 91.2.8, résultant d'une cuisson plus forte?"	"['régule', 'faïence fine', ""verre d'urane"", 'emaux en relief', 'emaux cloisonnés', 'verre dépoli']"	https://pop.culture.gouv.fr/notice/joconde/00660021113	musée des arts décoratifs et du design	Bordeaux	91.2.7	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021113/0c901012077f3c332966.jpg']
Cache-pot à décor persan	['Vieillard Jules & Cie']	[]	Grande vasque ronde. Bourrelet en bordure, anses latérales en forme de tête d'éléphant. Intérieur bleu, tacheté de bleu. Décor dans le goût persan de fleurs et rinceaux stylisés sur fond blanc et vert.	['faïence fine', 'emaux en relief', 'emaux cloisonnés']	https://pop.culture.gouv.fr/notice/joconde/00660021112	musée des arts décoratifs et du design	Bordeaux	91.2.1	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021112/0c90229843049a7d09c8.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021112/0c90229844903e6b3e9f.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021112/09ae5306b4b02f42a6b3.jpg']
Plat ovale à décor persan	['Vieillard Jules & Cie']	[]	Petit plat ovale à décor polychrome d'émaux cloisonnés dans le goût persan ; à partir d'un médaillon central, motifs floraux symétriques sur fond d'écailles bleues.  Filets jaune et noir en bordure.	['faïence fine', 'emaux cloisonnés']	https://pop.culture.gouv.fr/notice/joconde/00660021139	musée des arts décoratifs et du design	Bordeaux	98.2.3	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021139/0c90228ff99fb8f0d07f.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021139/0c902290057012eaf5aa.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021139/09ae5301f8161932641f.jpg']
Plat ovale à décor persan	['Vieillard Jules & Cie']	[]	Petit plat ovale à décor polychrome d'émaux cloisonnés dans le goût persan ; à partir d'un médaillon central, motifs floraux symétriques sur fond d'écailles bleues. Filets jaune et noir en bordure.	['faïence fine', 'emaux cloisonnés']	https://pop.culture.gouv.fr/notice/joconde/00660021140	musée des arts décoratifs et du design	Bordeaux	98.2.4	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021140/0c90228fa8c9fbae580e.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021140/0c90228faa4bf1e0ab44.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021140/09ae5301f8161932641f.jpg']
Nan	['CARANZA (potier)', 'VIEILLARD Jules & Cie (manufacture)']	[]	Faïence cloisonnée . ; Plat circulaire fond jaune à décor de perroquets.	['faïence, polychrome']	https://pop.culture.gouv.fr/notice/joconde/00640054121	musée d'Aquitaine	Bordeaux	90.65.1	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00640054121/0011920.jpg']
Nan	['Caranza de Amédée (1843-1914)', 'Vieillard Jules & Cie']	['1880 vers']	Faïence fine, émaux en relief polychromes ; Aiguière sur présentoir. Décor floral polychrome dans le goût persan sur fond rouge, interrompu par une frise de fleurs polychromes sur fond or. Anse et intérieur de l'aiguière noirs. Bordure et revers du présentoir noirs.	['faïence fine', 'émaux en relief']	https://pop.culture.gouv.fr/notice/joconde/00660021103	musée des arts décoratifs et du design	Bordeaux	87.2.8	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021103/0c901015846c97c35a55.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021103/0c90101586109c897ec9.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021103/0c90101588daf209f4c1.jpg']
Nan	['METTHEY André (auteur)']	['1910 - 1920']	"Terre vernissée ; A l’instar de Carriès, André Metthey travaille en solitaire et réalise l’ensemble de la fabrication, de la conception à la réalisation, poursuivant en cela l’évolution amorcée fin XIXème vers un art céramique comme expression d’une personnalité. En rupture avec le courant dominant austère de l’époque, Metthey aspire à une céramique haute en couleur en faisant appel, dans un premier temps, aux peintres. Cette collaboration se fait avec les plus grands : Denis, Rouault, Vlaminck, Maillol, Derain, Roussel, Van Dongen, Vuillard, Luce.  Une deuxième période voit l’abandon de la faïence stannifère au profit des terres vernissées qui lui conviennent mieux ; sur ce support, les émaux conservent tout leur éclat. Une certaine robustesse des formes, de larges touches de tons éteints, une fougue d’exécution caractérisent ces pièces. Y succèdent  des décors figurés et dynamiques, accompagnés d’un changement de style. Les effets un peu sauvages des compositions florales vivement brossées laissent place à une technique plus précise et à des rythmes plus aboutis même s’ils sont plus saccadés : Danses frénétiques, cortèges d’animaux, guerriers nus poursuivant des gazelles, femmes jouant avec des biches, athlètes terrassant des lions. Avec des tons plus nuancés de gris, rose, vert, bleu, la palette devient plus harmonieuse ; le rouge éclatant est sa dernière conquête. Avec ces dernières pièces, Metthey annonce les thèmes chers à l’art déco.  Les pièces acquises par le musée en 2011 datent de la même période 1910-1920 que les modèles dessinés offerts par le petit-fils de Metthey au musée, en 1998. La figuration de personnages nus, souvent associés à des animaux, qui  évoque de façon très allusive l'antiquité autant qu'un âge d'or primitif, est à replacer dans le contexte du ""retour à l'ordre"". Ces formes très simplifiées, aux ombres marquées donnant le volume, s'accordent à la sobriété des formes et de la texture des pièces. Metthey concilie le goût et l'art de la couleur (en particulier la mise en valeur réciproque des turquoise et bleu nuit, pour les pièces acquises) issus de son expérience avec les peintres ""fauves"", avec un goût de la plastique hérité des ateliers de sculpture qu'il fréquenta. (Rémi Cariel, 2011)"	['terre (glaçure plombifère)']	https://pop.culture.gouv.fr/notice/joconde/01370045552	musée des beaux-arts	Dijon	2011-4-1	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/01370045552/09b7069289b87fd03134.jpg']
Vase à décor émail et or (élément d'une paire) ; Vase à décor émail et or (titre du registre d'inventaire)	['Metthey André (1871-1920)']	['1909\xa0entre', '1914\xa0et', '1910', '1911', '1912', '1913']		['faïence, or\xa0(peint, glaçure)']	https://pop.culture.gouv.fr/notice/joconde/03960000130	musée départemental Maurice Denis	Saint-Germain-en-Laye	PMD 982.16.1.2	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/03960000130/56a325a38f87c0.jpg']
Vase bleu et gris	['Metthey André (1871-1920)']	['1910 - 1920']	"Terre vernissée ; Après une période haute en couleur en collaboration avec les plus grands peintres, Metthey abandonne vers 1910 la faïence stannifère au profit des terres vernissées, d'aspect plus rustiques mais permettant toutes les audaces chromatiques. Une certaine robustesse des formes, une fougue d'exécution caractérisent ces pièces. La figuration de personnages nus, souven tassociés à des animaux, qui évoque de façon très allusive l'antiquité autant qu'un âge d'or primitif, est à replacer dans le contexte du ""retour à l'ordre"" : danses frénétiques, cortèges d'animaux, guerriers nus poursuivant des gazelles, femmes jouant avec des biches, athlètes terrassant des lions. Les formes très simplifiées, aux ombres marquées donnant le volume, s'accordent à la sobriété des formes et de la texture des pièces. Avec des tons plus nuancés de gris, rose, vert, bleu, la palette devient plus harmonieuse. Ces pièces datent de la même période 1910-1920 que les modèles dessinés offerts par le petit-fils de Metthey au musée, en 1998.  (d'après Rémi Cariel, 2011)"	['terre (glaçure plombifère)']	https://pop.culture.gouv.fr/notice/joconde/01370056832	musée des beaux-arts	Dijon	2011-5-5	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/01370056832/09b706928a933f8f2163.jpg']
Nan	['Manufacture de Longwy (1798-....)']	['1796 après']	Porte-crayons à deux compartiments, à décor polychrome floral jaune et rouge sur fond bleu. Emaux cloisonnés sur décor imprimé dans le biscuit. Veine japonisante	['terre cuite', 'faïence (décor de petit feu)']	https://pop.culture.gouv.fr/notice/joconde/M0525000290	musée de la Princerie	Verdun	85.1.479	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/M0525000290/019584.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/M0525000290/019585.jpg']
Nan	['Manufacture de Longwy (1798-....)']	['1796 après']	plat rond à décor polychrome sur fond blanc. Une rosette verte et rouge au centre d'une couronne bleu foncé figure au centre. Des branches de fleurs rouges et bleues à feuilles vertes entourent le cercle dans un mouvement tournoyant. Une frise qui reproduit le décor de la couronne du centre borde le plat. Emaux cloisonnés sur décor imprimé dans le biscuit	['terre cuite', 'faïence (décor de petit feu)']	https://pop.culture.gouv.fr/notice/joconde/M0525000292	musée de la Princerie	Verdun	85.1.194 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/M0525000292/019539.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/M0525000292/019540.jpg']
Nan	['Manufacture de Longwy (1798-....)']	['1866-1977']	assiette creuse à décor polychrome sur fond bleu, dans la veine japonisante. Un motif blanc et rouge de comète, ornée d'une branche de fleurettes fines, figure au centre. Un semis de fleurettes rouges, blanches, jaunes et vertes recouvre le fond. Une frise de fleurettes vertes et rouges orne le marli, un liseré bleu foncé borde l'assiette. Emaux cloisonnés sur décor imprimé dans le biscuit	['terre cuite', 'faïence (décor de petit feu)']	https://pop.culture.gouv.fr/notice/joconde/M0525000294	musée de la Princerie	Verdun	85.1.192 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/M0525000294/019535.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/M0525000294/019536.jpg']
